127.0.0.1 - - [18/Jun/2020:19:51:07 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [18/Jun/2020:19:51:13 +0800] "GET /yonghui/ HTTP/1.1" 404 691
0:0:0:0:0:0:0:1 - - [18/Jun/2020:19:54:16 +0800] "GET /yonghui/LoginServlet?name=w&content=%E5%B1%B1%E6%B5%B7%E5%85%B3%E5%A4%A7%E6%A8%B1%E6%A1%83&imageurl=x HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [18/Jun/2020:19:55:25 +0800] "GET /yonghui/LoginServlet?name=w&content=%E4%BA%94&imageurl=x HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [18/Jun/2020:19:55:57 +0800] "GET /yonghui/LoginServlet?name=w&content=%E5%B1%B1%E6%B5%B7%E5%85%B3&imageurl=x HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [18/Jun/2020:19:56:39 +0800] "GET /yonghui/LoginServlet?name=w&content=%E4%B8%BA&imageurl=x HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [18/Jun/2020:20:12:25 +0800] "GET /yonghui/LoginServlet?name=w&content=%E5%B1%B1%E6%B5%B7%E5%85%B3%E7%9A%84%E5%A4%A7%E6%A8%B1%E6%A1%83%E5%8F%A3%E6%84%9F%E6%9E%81%E4%BD%B3&imageurl=x HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [18/Jun/2020:20:13:15 +0800] "GET /yonghui/PayServlet?name=w&totalCost=20&orderid=123 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [18/Jun/2020:20:13:21 +0800] "GET /yonghui/PayServlet?name=w&totalCost=20&orderid=123 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [18/Jun/2020:20:13:30 +0800] "GET /yonghui/PayServlet?name=w&totalCost=20&orderid=123 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [18/Jun/2020:20:14:01 +0800] "GET /yonghui/AddcardServlet?cardname=%E4%B8%AD%E5%9B%BD%E5%86%9C%E4%B8%9A%E9%93%B6%E8%A1%8C&cardid=622848&username=w HTTP/1.1" 200 19
