127.0.0.1 - - [06/Jun/2021:17:00:21 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:00:22 +0800] "GET /tmkeshihua/ HTTP/1.1" 200 17246
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:06:09 +0800] "GET /tmkeshihua/ HTTP/1.1" 200 17246
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:06:09 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:06:11 +0800] "GET /tmkeshihua/admin/login.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:06:19 +0800] "POST /tmkeshihua/LoginServlet HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:06:43 +0800] "POST /tmkeshihua/LoginServlet HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:06:43 +0800] "GET /tmkeshihua/images/sg2.jpg HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:06:51 +0800] "POST /tmkeshihua/LoginServlet HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:06:52 +0800] "GET /tmkeshihua/index.jsp HTTP/1.1" 200 17247
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:07 +0800] "GET /tmkeshihua/jsp/demo/drink.jsp HTTP/1.1" 200 10829
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:17 +0800] "GET /tmkeshihua/CartServlet?action=add&id=9 HTTP/1.1" 200 4125
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:20 +0800] "POST /tmkeshihua/CartServlet HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:21 +0800] "POST /tmkeshihua/CartServlet HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:23 +0800] "POST /tmkeshihua/PayServlet HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:24 +0800] "GET /tmkeshihua/CartServlet?action=ShowOrder HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:27 +0800] "GET /tmkeshihua/CartServlet?action=ShowOrder HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:28 +0800] "GET /tmkeshihua/CartServlet?action=ShowCart HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:29 +0800] "GET /tmkeshihua/CartServlet?action=ShowOrder HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:31 +0800] "GET /tmkeshihua/admin/login.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:39 +0800] "GET /tmkeshihua/CartServlet?action=ShowOrder HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:39 +0800] "GET /tmkeshihua/CartServlet?action=ShowCart HTTP/1.1" 200 3601
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:54 +0800] "GET /tmkeshihua/CartServlet?action=add&id=4 HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:56 +0800] "POST /tmkeshihua/CartServlet HTTP/1.1" 200 4448
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:07:58 +0800] "POST /tmkeshihua/PayServlet HTTP/1.1" 200 3564
0:0:0:0:0:0:0:1 - - [06/Jun/2021:17:08:01 +0800] "GET /tmkeshihua/CartServlet?action=ShowOrder HTTP/1.1" 200 3564
