127.0.0.1 - - [18/Apr/2021:11:28:42 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:28:46 +0800] "GET /tmkeshihua/ HTTP/1.1" 200 17246
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:28:46 +0800] "GET /tmkeshihua/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:28:46 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:25 +0800] "GET /tmkeshihua/ HTTP/1.1" 200 17246
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/nn_zgl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/nn_jd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/yl_jdb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/yl_kl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/nn_tls.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/yl_ht.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/sn_cz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/sn_rx.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/sn_kfe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /tmkeshihua/images/yl_kf.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:26 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:29 +0800] "GET /tmkeshihua/admin/login.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:38 +0800] "POST /tmkeshihua/LoginServlet HTTP/1.1" 200 36373
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:38 +0800] "GET /tmkeshihua/css/index_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2021:11:29:38 +0800] "GET /tmkeshihua/js/jquery.js HTTP/1.1" 304 -
