127.0.0.1 - - [15/Apr/2021:11:23:17 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:19 +0800] "GET /tmkeshihua/ HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/nn_jd.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/nn_tls.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/yl_jdb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/sn_cz.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/yl_ht.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/nn_zgl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/sn_rx.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/yl_kl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:23:20 +0800] "GET /tmkeshihua/images/sn_kfe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:24:32 +0800] "GET /tmkeshihua/admin/login.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:24:42 +0800] "POST /tmkeshihua/LoginServlet HTTP/1.1" 200 36612
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:24:42 +0800] "GET /tmkeshihua/css/index_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:24:42 +0800] "GET /tmkeshihua/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:24:42 +0800] "GET /tmkeshihua/js/echarts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:26:56 +0800] "GET /tmkeshihua/UserServlet?action=show HTTP/1.1" 200 5349
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:26:56 +0800] "GET /tmkeshihua/css/animate.css HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:26:56 +0800] "GET /tmkeshihua/css/spinners.css HTTP/1.1" 404 714
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:26:56 +0800] "GET /tmkeshihua/less/icons/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:26:56 +0800] "GET /tmkeshihua/less/icons/font-awesome/fonts/fontawesome-webfont.woff?v=4.5.0 HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [15/Apr/2021:11:26:56 +0800] "GET /tmkeshihua/less/icons/font-awesome/fonts/fontawesome-webfont.ttf?v=4.5.0 HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:03:34 +0800] "POST /tmkeshihua/LoginServlet HTTP/1.1" 200 36404
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:03:34 +0800] "GET /tmkeshihua/css/index_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:03:34 +0800] "GET /tmkeshihua/js/echarts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:03:34 +0800] "GET /tmkeshihua/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:03:35 +0800] "GET /tmkeshihua/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:03:35 +0800] "GET /tmkeshihua/images/head_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/LoginServlet HTTP/1.1" 200 10764
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/css/index.css HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/logo.jpg HTTP/1.1" 200 9103
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/css/header.css HTTP/1.1" 200 1519
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/nn_tls.jpg HTTP/1.1" 200 49318
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/id.jpeg HTTP/1.1" 200 11854
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/gwc.jpg HTTP/1.1" 200 15749
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/nn_jd.jpg HTTP/1.1" 200 41724
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/nn_zgl.jpg HTTP/1.1" 200 86299
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/yl_kl.jpg HTTP/1.1" 200 50676
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/yl_jdb.jpg HTTP/1.1" 200 51866
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/yl_ht.jpg HTTP/1.1" 200 64974
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:02 +0800] "GET /tmkeshihua/images/sn_cz.jpg HTTP/1.1" 200 60686
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:03 +0800] "GET /tmkeshihua/css/table.css HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:03 +0800] "GET /tmkeshihua/images/sn_kfe.jpg HTTP/1.1" 200 55778
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:03 +0800] "GET /tmkeshihua/css/form.css HTTP/1.1" 200 2246
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:03 +0800] "GET /tmkeshihua/images/sn_rx.jpg HTTP/1.1" 200 45835
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:03 +0800] "GET /tmkeshihua/images/fa-search.png HTTP/1.1" 200 1217
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:03 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:05 +0800] "GET /tmkeshihua/admin/login.jsp HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:05 +0800] "GET /tmkeshihua/images/yanzhengma.jpg HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:05 +0800] "GET /tmkeshihua/images/admin/login.jpg HTTP/1.1" 200 38350
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:05 +0800] "GET /tmkeshihua/css/login.css HTTP/1.1" 200 4184
0:0:0:0:0:0:0:1 - - [15/Apr/2021:12:04:14 +0800] "POST /tmkeshihua/LoginServlet HTTP/1.1" 200 36404
