127.0.0.1 - - [31/Mar/2020:00:49:32 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:35 +0800] "GET /shop/ HTTP/1.1" 200 14343
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:35 +0800] "GET /shop/products/18839291-852c-4e8c-a7c8-78f77ad256b11.jpg HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:38 +0800] "GET /shop/admin.action HTTP/1.1" 200 2456
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:38 +0800] "GET /shop/images/loginbg3.png HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:38 +0800] "GET /shop/images/cloud.png HTTP/1.1" 404 708
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:38 +0800] "GET /shop/images/loginlogo.png HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:38 +0800] "GET /shop/images/loginbg2.png HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:44 +0800] "POST /shop/admin/adminUser_login.action HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:44 +0800] "GET /shop/jsp/right.jsp HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:44 +0800] "GET /shop/jsp/top.jsp HTTP/1.1" 200 2127
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:44 +0800] "GET /shop/jsp/left.jsp HTTP/1.1" 200 2344
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:48 +0800] "GET /shop/admin/adminProduct_findAllByPage.action?page=1 HTTP/1.1" 200 14630
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:48 +0800] "GET /shop/js/public.js HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:48 +0800] "GET /shop/products/18839291-852c-4e8c-a7c8-78f77ad256b11.jpg HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:49:50 +0800] "GET /shop/admin/adminProduct_edit.action?pid=56 HTTP/1.1" 200 5840
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:55:09 +0800] "GET /shop/admin/adminProduct_findAllByPage.action?page=1 HTTP/1.1" 200 14630
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:55:09 +0800] "GET /shop/js/public.js HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:55:09 +0800] "GET /shop/products/18839291-852c-4e8c-a7c8-78f77ad256b11.jpg HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [31/Mar/2020:00:55:11 +0800] "GET /shop/admin/adminProduct_addPage.action HTTP/1.1" 200 4525
